,id,dealerName,roundCode,resultRaw,betTypeResult
20,520748,Olivia,58799737,"2,4,5","BIG,ODD,"
19,520749,Olivia,58799792,"2,3,6","BIG,ODD,"
18,520750,Olivia,58799847,"1,5,6","BIG,EVEN,"
17,520751,Olivia,58799902,"1,3,4","SMALL,EVEN,"
16,520752,Olivia,58799955,"2,3,4","SMALL,ODD,"
15,520753,Olivia,58800014,"1,4,5","SMALL,EVEN,"
14,520754,Olivia,58800073,"2,3,4","SMALL,ODD,"
13,520755,Olivia,58800129,"3,4,5","BIG,EVEN,"
12,520756,Olivia,58800179,"1,1,4","SMALL,EVEN,"
11,520757,Olivia,58800240,"3,3,6","BIG,EVEN,"
10,520758,Olivia,58800291,"2,2,2","SMALL,EVEN,"
9,520759,Olivia,58800345,"1,2,3","SMALL,EVEN,"
8,520760,Olivia,58800405,"1,2,4","SMALL,ODD,"
7,520761,Olivia,58800460,"1,4,6","BIG,ODD,"
6,520762,Olivia,58800518,"2,5,5","BIG,EVEN,"
5,520763,Olivia,58800574,"3,3,6","BIG,EVEN,"
4,520764,Olivia,58800627,"3,5,5","BIG,ODD,"
3,520765,Jasmine,58800686,"2,4,4","SMALL,EVEN,"
2,520766,Jasmine,58800736,"2,2,4","SMALL,EVEN,"
1,520767,Jasmine,58800790,"2,5,6","BIG,ODD,"
1,520768,Jasmine,58800847,"4,4,5","BIG,ODD,"
1,520769,Jasmine,58800894,"1,2,5","SMALL,EVEN,"
1,520770,Jasmine,58800947,"4,4,5","BIG,ODD,"
1,520771,Jasmine,58801001,"1,1,4","SMALL,EVEN,"
1,520772,Jasmine,58801047,"1,2,3","SMALL,EVEN,"
1,520773,Jasmine,58801095,"1,1,4","SMALL,EVEN,"
1,520774,Jasmine,58801145,"2,2,3","SMALL,ODD,"
9,520775,Jasmine,58801197,"1,3,6","SMALL,EVEN,"
8,520776,Jasmine,58801241,"1,2,5","SMALL,EVEN,"
7,520777,Jasmine,58801293,"3,5,6","BIG,EVEN,"
6,520778,Jasmine,58801340,"2,6,6","BIG,EVEN,"
5,520779,Jasmine,58801391,"2,5,5","BIG,EVEN,"
4,520780,Jasmine,58801439,"1,2,5","SMALL,EVEN,"
3,520781,Jasmine,58801492,"1,4,5","SMALL,EVEN,"
2,520782,Kimm,58801549,"5,6,6","BIG,ODD,"
1,520783,Kimm,58801598,"2,3,6","BIG,ODD,"
1,520784,Kimm,58801651,"1,2,2","SMALL,ODD,"
1,520785,Kimm,58801700,"1,1,1","SMALL,ODD,"
1,520786,Kimm,58801756,"4,4,5","BIG,ODD,"
1,520787,Kimm,58801801,"4,5,5","BIG,EVEN,"
1,520788,Kimm,58801851,"2,3,4","SMALL,ODD,"
1,520789,Kimm,58801908,"2,6,6","BIG,EVEN,"
1,520790,Kimm,58801956,"3,3,5","BIG,ODD,"
1,520791,Kimm,58802014,"1,2,5","SMALL,EVEN,"
1,520792,Kimm,58802069,"2,6,6","BIG,EVEN,"
1,520793,Kimm,58802118,"2,2,6","SMALL,EVEN,"
1,520794,Kimm,58802167,"2,4,5","BIG,ODD,"
1,520795,Kimm,58802215,"2,3,5","SMALL,EVEN,"
1,520796,Kimm,58802271,"3,3,4","SMALL,EVEN,"
1,520797,Kimm,58802325,"2,3,6","BIG,ODD,"
